"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.14198430629426e-121,0.486505041337725,0.396,0.253,9.61698556470546e-117,"0","ATM"
1.3506941196334e-120,0.635487307261162,0.384,0.253,4.13420456137391e-116,"0","APEX1"
2.5451081050186e-118,0.32729254876187,0.467,0.294,7.79006688784094e-114,"0","SKAP1"
2.557046152685e-117,0.402503920392365,0.652,0.493,7.82660686413826e-113,"0","UBXN1"
8.52398144182629e-112,0.255626819379088,0.68,0.479,2.60902023971419e-107,"0","UCP2"
5.8327185521485e-111,0.641003231035481,0.358,0.236,1.78527849444161e-106,"0","CLNS1A"
2.39858647180468e-109,0.375818815567073,0.273,0.154,7.34159347289975e-105,"0","SATB1"
1.30752381054116e-107,0.402813877395057,0.538,0.391,4.00206887930439e-103,"0","SNHG8"
5.20527110463576e-107,0.531950997028779,0.374,0.245,1.59322937970691e-102,"0","MAX"
1.68852247809787e-106,0.445231767713935,0.52,0.375,5.16822960096196e-102,"0","NDUFA12"
1.90150383592269e-106,0.443011313591567,0.47,0.327,5.82012294099216e-102,"0","C1QBP"
5.31240394207391e-102,0.597919947622444,0.29,0.175,1.62602059858998e-97,"0","ARHGAP45"
1.0432967221454e-98,0.464429459756661,0.502,0.373,3.19332260714263e-94,"0","MRPS21"
4.44817527013191e-98,0.582369518363663,0.292,0.18,1.36149748668197e-93,"0","CRBN"
9.8452507927315e-97,0.285027505911618,0.786,0.631,3.01343436263926e-92,"0","SSR2"
2.43107279784707e-96,0.442575841195152,0.523,0.39,7.4410276196503e-92,"0","EIF3M"
4.59481292709598e-96,0.543987169516165,0.39,0.271,1.40638034072554e-91,"0","OXA1L"
4.39552780221827e-94,0.657786219605161,0.285,0.181,1.34538314970297e-89,"0","CCNG1"
8.80614166016269e-94,0.337610767599988,0.679,0.538,2.6953838393426e-89,"0","HIGD2A"
8.18948370551976e-93,0.307621024737249,0.615,0.458,2.50663717258549e-88,"0","PEBP1"
1.95428527319855e-92,0.360082195805797,0.452,0.311,5.98167636420613e-88,"0","IKZF1"
2.36776538616111e-91,0.31961483129944,0.684,0.551,7.24725629396193e-87,"0","EIF3G"
6.40015889549376e-90,0.560089566969612,0.287,0.18,1.95896063473273e-85,"0","TSC22D4"
7.44189870043086e-90,0.466225539804959,0.343,0.226,2.27781635422788e-85,"0","HMOX2"
4.77013302101875e-89,0.326263226729318,0.554,0.408,1.46004231507342e-84,"0","RNASET2"
1.51748187057911e-87,0.415738270200006,0.506,0.378,4.64470850946853e-83,"0","GTF3A"
2.8545620860363e-86,0.301030049365158,0.403,0.272,8.73724363293992e-82,"0","VSIR"
3.1515389997944e-86,0.394641835919523,0.533,0.401,9.64623057057071e-82,"0","ATP5PD"
2.31228755947189e-83,0.34575240475548,0.586,0.45,7.07744976203157e-79,"0","NDUFB9"
3.12880675758215e-82,0.501578378711696,0.257,0.158,9.57665172360745e-78,"0","CHD3"
1.79032040449552e-79,0.423227312440509,0.464,0.346,5.4798126940799e-75,"0","EIF3D"
2.77826862104458e-79,0.359714766091896,0.583,0.456,8.50372459529325e-75,"0","C19orf53"
6.33898161925984e-79,0.484076478449556,0.317,0.212,1.94023549402305e-74,"0","FNTA"
1.20380054635878e-78,0.254664439154005,0.647,0.502,3.68459271229494e-74,"0","HMGN1"
2.26305790200255e-78,0.251819056922677,0.741,0.603,6.92676762644941e-74,"0","ATP6V1G1"
1.1993677649404e-77,0.549415751299515,0.298,0.2,3.67102485492959e-73,"0","CLPP"
